"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.772862875E0,-2.260299683E-2,1.646575928E-3,9.778864746E0
2.782909875E0,-2.604583740E-2,8.981323242E-4,9.773326263E0
2.792957875E0,-2.918930054E-2,1.272354126E-2,9.767937469E0
2.803004875E0,-2.844085693E-2,1.047821045E-2,9.777966614E0
2.813051875E0,-2.439926147E-2,6.436614990E-3,9.784103851E0
2.823098875E0,-2.380050659E-2,1.796264648E-3,9.781110077E0
2.833146875E0,-3.098556519E-2,4.490661621E-3,9.767488403E0
2.843193875E0,-3.023712158E-2,7.783813477E-3,9.767787781E0
2.853240875E0,-2.769241333E-2,-4.041595459E-3,9.778116302E0
2.863288875E0,-2.544708252E-2,2.095642090E-3,9.777517548E0
2.873335875E0,-2.454895020E-2,-1.047821045E-3,9.770781555E0
2.883382875E0,-3.817062378E-2,3.592529297E-3,9.773026886E0
2.893429875E0,-3.113525391E-2,7.933502197E-3,9.778415680E0
2.903477875E0,-2.200424194E-2,6.286926270E-3,9.783654785E0
2.913524875E0,-2.350112915E-2,7.783813477E-3,9.782157898E0
2.923571875E0,-2.574645996E-2,5.089416504E-3,9.773925018E0
2.933618875E0,-2.664459229E-2,4.490661621E-3,9.772128754E0
2.943666875E0,-2.544708252E-2,1.197509766E-3,9.781559143E0
2.953713875E0,-2.963836670E-2,-1.496887207E-3,9.778864746E0
2.963760875E0,-2.305206299E-2,1.496887207E-4,9.776320038E0
2.973808875E0,-1.886077881E-2,-7.484436035E-4,9.781858521E0
2.983855875E0,-2.664459229E-2,6.137237549E-3,9.772877197E0
2.993902875E0,-3.068618774E-2,9.430389404E-3,9.780211945E0
3.003949875E0,-2.619552612E-2,2.993774414E-4,9.777068481E0
3.013997875E0,-2.125579834E-2,1.496887207E-4,9.772428131E0
3.024044875E0,-1.990859985E-2,7.783813477E-3,9.779164124E0
3.034091875E0,-2.888992310E-2,2.544708252E-3,9.771080933E0
3.044139875E0,-2.933898926E-2,-1.496887207E-3,9.772278442E0
3.054186875E0,-2.215393066E-2,1.227447510E-2,9.774823151E0
3.064233875E0,-1.945953369E-2,1.197509766E-3,9.779463501E0
3.074280875E0,-3.382965088E-2,2.245330811E-3,9.761351166E0
3.084328875E0,-2.634521484E-2,-1.646575928E-3,9.773176575E0
3.094375875E0,-3.203338623E-2,6.137237549E-3,9.782008209E0
3.104422875E0,-3.173400879E-2,8.382568359E-3,9.780211945E0
3.114469875E0,-2.185455322E-2,-1.496887207E-4,9.777966614E0
3.124517875E0,-2.365081787E-2,7.484436035E-4,9.779313812E0
3.134564875E0,-2.978805542E-2,6.735992432E-3,9.778116302E0
3.144611875E0,-2.724334717E-2,4.041595459E-3,9.767488403E0
3.154659875E0,-2.634521484E-2,5.837860107E-3,9.777218170E0
3.164706875E0,-3.053649902E-2,-4.490661621E-4,9.780062256E0
3.174753875E0,-2.245330811E-2,5.987548828E-4,9.779313812E0
3.184800875E0,-1.871109009E-2,9.280700684E-3,9.783954163E0
3.194848875E0,-1.661544800E-2,5.388793945E-3,9.773925018E0
3.204895875E0,-3.143463135E-2,1.796264648E-3,9.780960388E0
3.214942875E0,-2.874023438E-2,-2.245330811E-3,9.778565369E0
3.224990875E0,-2.215393066E-2,4.490661621E-4,9.774823151E0
3.235037875E0,-2.185455322E-2,5.239105225E-3,9.769883423E0
3.245084875E0,-2.499801636E-2,-1.496887207E-3,9.776918793E0
3.255132000E0,-2.409988403E-2,3.742218018E-3,9.771829376E0
3.265180000E0,-2.529739380E-2,6.137237549E-3,9.772727509E0
3.275227000E0,-2.290237427E-2,1.796264648E-3,9.778265991E0
3.285274000E0,-2.963836670E-2,1.047821045E-3,9.775571594E0
3.295321000E0,-2.335144043E-2,5.388793945E-3,9.771679688E0
3.305369000E0,-2.544708252E-2,3.742218018E-3,9.766590271E0
3.315416000E0,-3.592529297E-2,1.945953369E-3,9.786349182E0
3.325463000E0,-2.918930054E-2,5.089416504E-3,9.776619415E0
3.335511000E0,-2.978805542E-2,8.382568359E-3,9.772428131E0
3.345558000E0,-2.874023438E-2,-1.496887207E-4,9.775721283E0
3.355605000E0,-2.709365845E-2,6.137237549E-3,9.772577820E0
3.365652000E0,-2.409988403E-2,5.538482666E-3,9.770781555E0
3.375700000E0,-2.574645996E-2,6.885681152E-3,9.774972839E0
3.385747000E0,-2.769241333E-2,5.388793945E-3,9.783804474E0
3.395794000E0,-2.424957275E-2,7.484436035E-4,9.789792023E0
3.405842000E0,-2.634521484E-2,2.245330811E-3,9.775272217E0
3.415889000E0,-2.544708252E-2,3.143463135E-3,9.773625641E0
3.425936000E0,-2.080673218E-2,3.742218018E-3,9.771380310E0
3.435983000E0,-2.604583740E-2,4.490661621E-4,9.780810699E0
3.446031000E0,-2.559677124E-2,8.831634521E-3,9.778864746E0
3.456078000E0,-3.008743286E-2,5.688171387E-3,9.775571594E0
3.466125000E0,-2.769241333E-2,9.131011963E-3,9.770332489E0
3.476172000E0,-1.901046753E-2,9.280700684E-3,9.764494629E0
3.486220000E0,-1.496887207E-2,7.484436035E-4,9.771829376E0
3.496267000E0,-2.469863892E-2,3.592529297E-3,9.774823151E0
3.506314000E0,-3.083587646E-2,1.496887207E-3,9.765243073E0
3.516362000E0,-3.517684937E-2,2.544708252E-3,9.768835602E0
3.526409000E0,-2.769241333E-2,6.586303711E-3,9.775122528E0
3.536456000E0,-2.799179077E-2,4.340972900E-3,9.775272217E0
3.546503000E0,-2.469863892E-2,1.047821045E-3,9.767488403E0
3.556551000E0,-1.960922241E-2,4.790039062E-3,9.779912567E0
3.566598000E0,-2.784210205E-2,5.837860107E-3,9.764644318E0
3.576645000E0,-2.769241333E-2,8.382568359E-3,9.759704590E0
3.586692000E0,-2.739303589E-2,6.286926270E-3,9.768087158E0
3.596740000E0,-3.113525391E-2,4.041595459E-3,9.773925018E0
3.606787000E0,-3.996688843E-2,3.442840576E-3,9.775571594E0
3.616834000E0,-2.918930054E-2,2.993774414E-3,9.777517548E0
3.626882000E0,-2.095642090E-2,1.646575928E-3,9.772877197E0
3.636929000E0,-2.350112915E-2,5.688171387E-3,9.771679688E0
3.646976000E0,-3.143463135E-2,3.891906738E-3,9.781858521E0
3.657023000E0,-2.739303589E-2,-2.993774414E-4,9.777367859E0
3.667071000E0,-2.739303589E-2,-1.646575928E-3,9.779762878E0
3.677118000E0,-2.769241333E-2,9.580078125E-3,9.775272217E0
3.687165000E0,-3.412902832E-2,8.232879639E-3,9.780511322E0
3.697213000E0,-3.068618774E-2,3.592529297E-3,9.771230621E0
3.707260000E0,-2.933898926E-2,-2.544708252E-3,9.777068481E0
3.717307000E0,-1.916015625E-2,1.481918335E-2,9.773475952E0
3.727354000E0,-2.484832764E-2,9.131011963E-3,9.775272217E0
3.737402000E0,-2.529739380E-2,5.538482666E-3,9.788145447E0
3.747449000E0,-1.811233521E-2,-0.000000000E0,9.784552917E0
3.757496000E0,-2.260299683E-2,5.239105225E-3,9.780810699E0
3.767543000E0,-1.691482544E-2,6.735992432E-3,9.776619415E0
3.777591000E0,-2.185455322E-2,5.987548828E-4,9.775870972E0
3.787638000E0,-2.888992310E-2,-3.891906738E-3,9.784253540E0
3.797685000E0,-2.754272461E-2,-2.095642090E-3,9.782606964E0
3.807733000E0,-2.918930054E-2,4.640350342E-3,9.777667236E0
3.817780000E0,-3.053649902E-2,5.538482666E-3,9.782157898E0
3.827827000E0,-2.484832764E-2,5.538482666E-3,9.782756653E0
3.837874000E0,-2.170486450E-2,1.047821045E-2,9.785900116E0
3.847922000E0,-2.320175171E-2,3.293151855E-3,9.774523773E0
3.857969000E0,-3.008743286E-2,3.442840576E-3,9.780062256E0
3.868016000E0,-3.906875610E-2,7.634124756E-3,9.767787781E0
3.878064000E0,-2.335144043E-2,9.729766846E-3,9.770182800E0
3.888111000E0,-3.098556519E-2,-1.646575928E-3,9.779912567E0
3.898158000E0,-4.101470947E-2,8.981323242E-4,9.778864746E0
3.908205000E0,-2.559677124E-2,7.484436035E-3,9.771829376E0
3.918253000E0,-3.233276367E-2,5.388793945E-3,9.768685913E0
