"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.523235000E0,1.349539962E-4,-5.573318922E-4,1.449891366E-3
1.533283000E0,4.952796735E-4,7.438885514E-4,-4.654543009E-4
1.543330000E0,1.482170075E-3,1.616300782E-3,-5.451606121E-4
1.553377000E0,3.130424302E-4,-2.298546024E-3,-2.696195850E-3
1.563425000E0,-9.760248940E-5,-7.341616438E-4,5.353079177E-5
1.573472000E0,-6.954821292E-4,7.497518091E-4,1.355017768E-3
1.583519000E0,6.259728689E-4,2.387585118E-3,-3.122796770E-4
1.593566000E0,-7.306414191E-4,6.045987830E-4,-2.710006665E-4
1.603614000E0,4.429146647E-4,-1.062205993E-3,1.870991662E-3
1.613661000E0,-5.717496388E-4,3.202409716E-4,3.191675059E-4
1.623708000E0,9.483087342E-4,2.334627323E-3,-1.869653352E-4
1.633756000E0,-2.634295961E-4,-1.325249905E-4,-3.472876269E-4
1.643803000E0,9.168318938E-4,8.249017410E-4,-1.571704284E-3
1.653850000E0,6.278790534E-4,-2.390066162E-3,-1.382087241E-3
1.663897000E0,1.925854478E-3,-1.621700125E-3,-1.106370706E-3
1.673945000E0,-7.796509890E-4,2.033640631E-4,-3.465665039E-3
1.683992000E0,1.276618103E-3,6.160017801E-4,1.253592549E-3
1.694039000E0,-1.600128482E-3,-1.464613015E-4,5.414634943E-4
1.704086000E0,2.404595725E-4,5.400495138E-5,-2.543966984E-3
1.714134000E0,-1.252774848E-3,2.019151580E-3,-1.994290389E-3
1.724181000E0,1.672863262E-3,-2.795862267E-3,-8.149892092E-4
1.734228000E0,1.354082720E-3,8.273683488E-4,-2.179326490E-3
1.744276000E0,1.505297609E-3,-2.082279418E-3,1.002328005E-3
1.754323000E0,2.624003682E-4,-1.184794004E-3,-2.139403252E-3
1.764370000E0,9.091405664E-4,1.047981437E-3,-1.283347374E-3
1.774417000E0,-1.371057937E-3,9.164211806E-4,7.310677320E-4
1.784465000E0,-7.561815437E-4,-8.308907854E-4,1.416952582E-3
1.794512000E0,-2.506943652E-3,-7.035916788E-4,-1.026471145E-4
1.804559000E0,3.270605579E-3,2.076344099E-3,9.659426287E-4
1.814607000E0,8.987945039E-4,3.375662491E-4,-1.391753671E-3
1.824654000E0,-4.861346679E-4,-7.271269569E-4,-2.140717115E-3
1.834701000E0,1.537068747E-3,-3.140706685E-4,2.243910916E-3
1.844748000E0,-1.288508996E-3,1.413832535E-3,1.149449032E-3
1.854796000E0,7.591955364E-4,-1.588881481E-3,3.598218318E-4
1.864843000E0,-1.723996247E-3,8.324281080E-4,1.382454997E-3
1.874890000E0,-1.204679837E-3,-2.530763159E-4,-4.163844511E-3
1.884937000E0,5.690746475E-4,-1.178739709E-3,3.472263925E-4
1.894985000E0,5.211376119E-4,1.170700882E-3,1.107825199E-3
1.905032000E0,9.018704295E-4,-9.042179445E-4,3.184152301E-4
1.915079000E0,-1.137844520E-3,9.860938881E-4,-5.955814850E-4
1.925127000E0,-1.605627825E-3,3.580335760E-4,3.792475909E-4
1.935174000E0,4.948072601E-4,-5.865896819E-4,-5.256945733E-4
1.945221000E0,1.182957087E-3,1.185547095E-3,3.541586921E-6
1.955268000E0,-6.969682872E-4,-2.172166249E-3,1.230459893E-3
1.965316000E0,7.615573704E-4,-5.207945360E-4,-3.702558111E-3
1.975363000E0,2.572592348E-5,3.990612458E-4,2.213920699E-3
1.985410000E0,1.965180505E-3,-1.741813729E-3,-1.052320236E-3
1.995458000E0,5.276063457E-4,-4.118311335E-4,2.087546745E-3
2.005505000E0,4.850430414E-4,4.883640213E-4,2.955079544E-4
2.015552000E0,-9.306933498E-4,1.929933205E-3,-4.507098347E-4
2.025599000E0,1.274218317E-3,3.057343420E-4,2.784864046E-5
2.035647000E0,-1.369767939E-3,-4.814960994E-4,-2.618002007E-3
2.045694000E0,1.638832735E-3,-1.233699149E-3,3.802990541E-4
2.055741000E0,-1.233386574E-3,-4.890793352E-4,3.411506768E-4
2.065789000E0,2.266854979E-3,-1.787223620E-3,-2.242943738E-3
2.075836000E0,1.488602720E-5,1.766764792E-3,2.569654025E-4
2.085883000E0,-7.701833965E-4,1.367969438E-3,-1.088017365E-3
2.095930000E0,2.759303898E-3,2.495019231E-3,1.610051841E-4
2.105978000E0,-1.131272642E-3,-4.940690123E-4,1.938725356E-3
2.116025000E0,-5.949120969E-4,1.754970406E-3,7.128724828E-4
2.126072000E0,-1.410465105E-3,-1.346716075E-3,-1.553492621E-5
2.136119000E0,-9.585266234E-4,1.507926267E-3,-1.479474478E-3
2.146167000E0,-1.303951489E-3,1.217013691E-3,-9.729056619E-4
2.156214000E0,1.562408870E-3,-3.369408078E-4,-1.632304280E-3
2.166261000E0,7.866804954E-4,1.108967932E-3,2.211248502E-4
2.176309000E0,-4.519557115E-4,-1.325976336E-4,1.094641630E-3
2.186356000E0,1.894027228E-3,1.454452518E-3,-1.087044831E-3
2.196403000E0,2.398696495E-3,-2.748281928E-3,-7.104873657E-5
2.206450000E0,3.805174492E-5,-2.042279812E-4,-2.935614903E-4
2.216498000E0,1.956859371E-3,-1.195394434E-4,8.851536550E-4
2.226545000E0,1.355600543E-4,-1.699636923E-4,1.020599389E-3
2.236592000E0,1.628794475E-3,-5.225662026E-4,-1.352277002E-3
2.246640000E0,1.641262090E-3,-1.472304575E-4,-5.320343189E-4
2.256686875E0,1.054035034E-3,-1.085195807E-3,-6.209840067E-4
2.266733875E0,1.169015421E-3,-3.378998954E-3,-1.720478758E-5
2.276780875E0,-2.200893359E-4,-8.750950801E-4,9.481911547E-4
2.286828875E0,1.207313035E-3,-6.305667921E-4,7.644218858E-4
2.296875875E0,-1.612974447E-3,-1.112598926E-3,-1.577295712E-3
2.306922875E0,3.812401555E-4,-1.452371129E-3,-1.886121696E-3
2.316970875E0,-3.599175252E-4,2.941298299E-4,6.894213147E-4
2.327017875E0,4.192246124E-4,-3.028017818E-4,-1.237113029E-4
2.337064875E0,-1.872958033E-3,-5.467473529E-4,2.552566584E-4
2.347111875E0,-2.208077349E-4,3.927812213E-4,-1.036592759E-3
2.357159875E0,3.019708674E-4,-1.377421897E-3,-1.541261794E-3
2.367206875E0,-7.656998932E-4,1.493347343E-3,3.249537433E-3
2.377253875E0,-3.577036550E-4,-2.757856622E-3,1.323074102E-4
2.387300875E0,4.601951223E-4,-6.371717318E-4,1.051406842E-3
2.397348875E0,-2.214950044E-3,-1.507492736E-3,-4.958814941E-3
2.407395875E0,8.928403258E-5,1.814484829E-3,-5.302659702E-4
2.417442875E0,1.150820171E-3,-7.397530135E-4,2.713454887E-4
2.427490875E0,1.879765186E-4,-1.682739588E-3,2.572736703E-4
2.437537875E0,-1.102325041E-3,1.694889506E-4,1.175531652E-3
2.447584875E0,2.231933409E-3,-6.344129797E-4,7.140340749E-4
2.457631875E0,2.240189118E-3,6.724002305E-4,6.184268277E-4
2.467679875E0,-7.570557063E-4,-5.669827806E-4,-3.943147603E-4
2.477726875E0,1.549508190E-3,-1.563271391E-3,2.704102080E-4
2.487773875E0,-4.392645787E-4,-2.816326451E-4,-2.195177600E-3
2.497821875E0,-1.529747387E-4,2.272974234E-4,-4.766397178E-4
2.507868875E0,-5.190446973E-5,7.983834948E-4,-1.353248255E-3
2.517915875E0,-1.262066653E-4,-1.756919548E-3,-1.032603672E-3
2.527962875E0,-3.911252134E-5,-3.370751161E-3,1.334450906E-3
2.538010875E0,-1.448457362E-3,-9.283663239E-4,-1.421920839E-3
2.548057875E0,2.883999143E-3,-1.147720381E-3,-4.203461576E-4
2.558104875E0,-4.611974582E-4,-1.707250485E-3,-9.597302414E-5
2.568151875E0,2.015261911E-3,-2.043469111E-3,1.922058873E-3
2.578199875E0,-6.588182878E-4,3.139965702E-5,8.517345414E-4
2.588246875E0,-6.046234630E-4,-2.126438776E-4,2.327680122E-4
2.598293875E0,-1.874418696E-3,-1.616928726E-3,3.502133768E-4
2.608341875E0,-8.050061297E-5,5.114518572E-4,1.052326756E-3
2.618388875E0,-1.912880689E-4,1.089890371E-3,1.300799428E-3
2.628435875E0,8.718215395E-4,-1.372331288E-3,-9.476460982E-4
2.638482875E0,-4.882548237E-4,5.209099036E-4,7.887347601E-4
2.648530875E0,-3.151035635E-4,-6.649120478E-4,1.288717613E-3
2.658577875E0,-5.321510835E-4,9.071518434E-4,-1.164586516E-3
2.668624875E0,-8.233506233E-4,-1.606758218E-3,-4.192555789E-4
2.678672875E0,-1.138402615E-3,1.444425434E-3,1.089957776E-3
2.688719875E0,-6.973888958E-4,-1.059944974E-3,-5.900720134E-5
2.698766875E0,-7.967248093E-4,-3.041398595E-4,-1.162887318E-3
2.708813875E0,9.438670240E-4,-8.813657332E-4,-6.879481953E-4
2.718861875E0,-1.880681608E-3,2.739134943E-4,-6.780945696E-4
2.728908875E0,-2.434535418E-4,4.841014743E-4,-2.327162074E-3
2.738955875E0,4.404461943E-4,6.753165508E-4,1.058248105E-3
2.749002875E0,1.491583185E-3,-1.027826453E-3,6.815651432E-6
2.759050875E0,3.030663356E-5,-3.687525401E-3,2.494740766E-3
2.769097875E0,2.286043018E-4,1.694045495E-4,-7.552085444E-4
2.779144875E0,2.685903106E-3,-8.484555874E-4,-2.478763927E-4
2.789192875E0,-4.262169823E-4,1.512129558E-3,-1.185686560E-3
