"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.158644290E-1,7.905079424E-2,1.133061409E0,9.497473717E0
3.183776590E-1,-7.186435629E-3,1.137852311E0,9.445371628E0
3.208908880E-1,2.635026351E-2,1.152225137E0,9.473518372E0
3.234041170E-1,1.197739318E-2,1.200134754E0,9.459145546E0
3.259173460E-1,-1.197739318E-2,1.238462448E0,9.520829201E0
3.284305750E-1,-2.215817571E-2,1.167196870E0,9.587304115E0
3.309437520E-1,-6.527678668E-2,1.162405968E0,9.548975945E0
3.334569820E-1,-2.694913372E-2,1.157614946E0,9.548975945E0
3.359702110E-1,-4.132200405E-2,1.200733662E0,9.563348770E0
3.384834400E-1,-4.192087427E-2,1.171987891E0,9.586705208E0
3.409966690E-1,-3.233896196E-2,1.129468083E0,9.591496468E0
3.435098980E-1,-2.754800394E-2,1.191750526E0,9.610060692E0
3.460231270E-1,-1.377400197E-2,1.191750526E0,9.662162781E0
3.485363570E-1,-1.856495813E-2,1.182168603E0,9.714263916E0
3.510495860E-1,5.389826838E-3,1.148631930E0,9.743010521E0
3.535628150E-1,9.581914172E-3,1.177377701E0,9.761574745E0
3.560760440E-1,2.395478636E-2,1.158812761E0,9.804095268E0
3.585892730E-1,6.168357283E-2,1.115694165E0,9.813676834E0
3.611025020E-1,7.126548886E-2,1.115694165E0,9.865777969E0
3.636157320E-1,3.772878647E-2,1.101321220E0,9.889733315E0
3.661289610E-1,3.772878647E-2,1.115694165E0,9.822659492E0
3.686421900E-1,2.814687230E-2,1.106711030E0,9.946026802E0
3.711554190E-1,1.796608977E-2,1.068383455E0,9.941235542E0
3.736686480E-1,-1.077965368E-2,1.082756281E0,9.912489891E0
3.761818770E-1,7.485870272E-2,1.125874877E0,9.946026802E0
3.786951070E-1,4.611296207E-2,1.121083975E0,9.907699585E0
3.812083360E-1,4.132200405E-2,1.092937112E0,9.841224670E0
3.837215650E-1,2.215817571E-2,1.078564167E0,9.783733368E0
3.862347940E-1,5.988696218E-2,1.078564167E0,9.778942108E0
3.887480230E-1,7.425983250E-2,1.092937112E0,9.698095322E0
3.912612520E-1,9.342366457E-2,1.097728014E0,9.688512802E0
3.937744820E-1,1.119886190E-1,1.116891861E0,9.640603065E0
3.962877110E-1,2.155930735E-2,1.088744998E0,9.588501930E0
3.988009400E-1,1.616948098E-2,1.107908845E0,9.611857414E0
4.013141690E-1,4.970617965E-2,1.155818343E0,9.564546585E0
4.038273980E-1,2.096043713E-2,1.146236539E0,9.487891197E0
4.063406270E-1,3.952539712E-2,1.146236539E0,9.483100891E0
4.088538570E-1,1.557061076E-2,1.194146037E0,9.487891197E0
4.113670860E-1,3.473443910E-2,1.189355135E0,9.530411720E0
4.138803150E-1,4.431635141E-2,1.256428480E0,9.492682457E0
4.163934920E-1,1.197739271E-3,1.204326868E0,9.501666069E0
4.189067210E-1,-4.192087334E-3,1.261219501E0,9.572931290E0
4.214199500E-1,5.988696357E-4,1.189953923E0,9.553767204E0
4.239331790E-1,3.832765669E-2,1.199535847E0,9.534603119E0
4.264464090E-1,-1.377400197E-2,1.156417251E0,9.572332382E0
4.289596380E-1,-9.581914172E-3,1.123479486E0,9.629224777E0
4.314728670E-1,2.395478636E-2,1.157016158E0,9.614851952E0
4.339860960E-1,4.790957086E-3,1.137852311E0,9.657371521E0
4.364993250E-1,3.293782845E-2,1.147434235E0,9.638208389E0
4.390125540E-1,4.731070250E-2,1.142643213E0,9.690908432E0
4.415257840E-1,4.671183228E-2,1.143242121E0,9.671744347E0
4.440390130E-1,2.754800394E-2,1.148033142E0,9.737620354E0
4.465522420E-1,8.983044326E-2,1.157614946E0,9.761574745E0
4.490654710E-1,9.881348908E-2,1.085750699E0,9.737620354E0
4.515787000E-1,2.275704592E-2,1.043230891E0,9.732829094E0
4.540919290E-1,7.964966446E-2,1.095931411E0,9.756185532E0
4.566051590E-1,5.090392008E-2,1.086349487E0,9.770558357E0
4.591183880E-1,3.653104603E-2,1.067185640E0,9.737021446E0
4.616316170E-1,7.425983250E-2,1.081558585E0,9.737021446E0
4.641448460E-1,5.509600788E-2,1.110304356E0,9.708275795E0
4.666580750E-1,8.324287832E-2,1.067784548E0,9.717857361E0
4.691713040E-1,1.407343596E-1,1.086948395E0,9.731631279E0
4.716845340E-1,5.928809568E-2,1.106112242E0,9.736422539E0
4.741977630E-1,5.928809568E-2,1.086948395E0,9.746004105E0
4.767109920E-1,6.887000799E-2,1.082157373E0,9.731631279E0
4.792242210E-1,8.743496984E-2,1.106112242E0,9.740614891E0
4.817374500E-1,1.209716648E-1,1.097129226E0,9.693304062E0
