"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.817374500E-1,6.657897029E-3,1.571263745E-2,-3.062632633E-3
4.842506790E-1,8.788423613E-3,1.784316450E-2,-9.321055841E-4
4.867639090E-1,1.304947771E-2,1.571263745E-2,-3.062632633E-3
4.892771380E-1,1.198421419E-2,1.890842803E-2,-9.321055841E-4
4.917903670E-1,1.304947771E-2,1.784316450E-2,-9.321055841E-4
4.943035960E-1,7.723160554E-3,1.784316450E-2,-9.321055841E-4
4.968168250E-1,5.592633504E-3,1.890842803E-2,-1.997369109E-3
4.993300540E-1,1.091895066E-2,1.784316450E-2,-4.127896391E-3
5.018432840E-1,9.853687137E-3,1.571263745E-2,1.331579406E-4
5.043564610E-1,2.396842930E-3,1.677790098E-2,3.328948515E-3
5.068696900E-1,-2.929474693E-3,1.038631983E-2,1.331579406E-4
5.093829190E-1,-5.060001742E-3,1.145158336E-2,1.331579406E-4
5.118961480E-1,-6.125265267E-3,9.321056306E-3,-1.997369109E-3
5.144093770E-1,-1.464737393E-2,3.994738217E-3,-1.997369109E-3
5.169226070E-1,-1.358211040E-2,5.060001742E-3,-1.997369109E-3
5.194358360E-1,-1.251684688E-2,4.127896391E-3,1.331579406E-4
5.219490650E-1,-1.358211040E-2,-1.331579406E-4,-3.062632633E-3
5.244622940E-1,-1.251684688E-2,-2.263684990E-3,-4.127896391E-3
5.269755230E-1,-1.145158336E-2,-5.459475331E-3,-5.193159916E-3
5.294887520E-1,-1.145158336E-2,-7.590002380E-3,-8.388950489E-3
5.320019820E-1,-1.251684688E-2,-1.291632000E-2,-6.258423440E-3
5.345152110E-1,-6.125265267E-3,-1.398158353E-2,-8.388950489E-3
5.370283880E-1,-2.929474693E-3,-1.717737503E-2,-1.051947754E-2
5.395416690E-1,-7.989476435E-4,-2.143842913E-2,-9.454214014E-3
5.420548980E-1,1.331579406E-3,-2.250369266E-2,-9.454214014E-3
