"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.891413850E-1,2.117211185E-2,5.472791195E-2,3.941474855E-2
3.916543020E-1,2.330263890E-2,4.833633080E-2,3.728422523E-2
3.941672710E-1,2.543316595E-2,4.514054209E-2,3.515369445E-2
3.966802400E-1,2.649842948E-2,4.194474965E-2,3.195790574E-2
3.991932080E-1,2.649842948E-2,3.768369555E-2,3.089264221E-2
4.017061770E-1,2.756369300E-2,3.768369555E-2,3.089264221E-2
4.042191460E-1,3.182474896E-2,3.981422260E-2,2.556632459E-2
4.067320630E-1,2.649842948E-2,3.661843389E-2,2.450106107E-2
4.092450310E-1,2.756369300E-2,3.555316851E-2,2.450106107E-2
4.117580000E-1,2.756369300E-2,3.981422260E-2,2.130527049E-2
4.142709690E-1,2.756369300E-2,4.087948799E-2,1.917474344E-2
4.167839380E-1,2.543316595E-2,4.620580375E-2,1.917474344E-2
4.192968540E-1,3.075948358E-2,5.366265029E-2,1.384842582E-2
4.218098230E-1,2.862895653E-2,5.685843900E-2,1.065263525E-2
4.243227920E-1,3.075948358E-2,5.898896605E-2,1.171789877E-2
4.268357600E-1,3.289001063E-2,6.644581258E-2,1.384842582E-2
4.293487290E-1,3.715106472E-2,7.070686668E-2,1.384842582E-2
4.318616980E-1,3.928159177E-2,7.283739001E-2,1.171789877E-2
4.343746150E-1,4.354264587E-2,7.283739001E-2,1.491368935E-2
4.368875830E-1,4.673843831E-2,7.390265912E-2,1.597895287E-2
4.394005520E-1,5.313001946E-2,7.390265912E-2,1.597895287E-2
4.419135210E-1,5.632580817E-2,7.603318244E-2,1.491368935E-2
4.444264900E-1,5.952160060E-2,7.390265912E-2,1.917474344E-2
4.469394060E-1,6.271739304E-2,7.603318244E-2,1.810947992E-2
4.494524790E-1,6.697844714E-2,7.496792078E-2,1.491368935E-2
4.519655000E-1,7.337002456E-2,7.816371322E-2,1.597895287E-2
4.544785210E-1,7.763107866E-2,8.349002898E-2,1.597895287E-2
4.569915940E-1,8.082687110E-2,8.455529064E-2,1.810947992E-2
4.595046150E-1,8.402266353E-2,8.988160640E-2,2.556632459E-2
4.620176350E-1,8.934897929E-2,9.520792961E-2,2.663158812E-2
4.645306560E-1,9.467529505E-2,9.627319127E-2,2.450106107E-2
4.670437290E-1,1.000016108E-1,9.840371460E-2,2.982737869E-2
4.695567500E-1,1.010668799E-1,9.733845294E-2,3.089264221E-2
4.720697710E-1,1.053279340E-1,9.520792961E-2,3.408843279E-2
4.745827920E-1,1.031974033E-1,9.840371460E-2,3.834948689E-2
4.770958650E-1,1.031974033E-1,9.307739884E-2,4.154527932E-2
4.796088850E-1,1.053279340E-1,9.307739884E-2,4.687159508E-2
4.821219060E-1,1.063931957E-1,9.201213717E-2,4.900212213E-2
4.846349790E-1,1.074584574E-1,8.349002898E-2,5.006738752E-2
4.871480000E-1,1.053279340E-1,7.922897488E-2,5.326317623E-2
4.896610210E-1,1.010668799E-1,7.283739001E-2,5.645896494E-2
4.921740420E-1,9.680582583E-2,6.431528181E-2,5.539370328E-2
4.946871150E-1,9.467529505E-2,5.579317734E-2,5.432844162E-2
4.972001350E-1,8.934897929E-2,4.514054209E-2,5.326317623E-2
4.997131560E-1,8.402266353E-2,3.448790684E-2,5.113264918E-2
5.022261770E-1,7.869634032E-2,2.916158922E-2,5.219791085E-2
5.047392500E-1,7.337002456E-2,2.490053512E-2,5.432844162E-2
5.072522710E-1,6.804370880E-2,2.170474455E-2,5.113264918E-2
5.097652920E-1,6.591317803E-2,1.850895397E-2,4.793685675E-2
5.122783130E-1,6.165212765E-2,1.531316340E-2,4.900212213E-2
